iteration,time_primal_forward,time_primal_backward,time_dual_forward,time_dual_backward
1,0.167127392,0.059970218,1.747625513,0.189055772
2,0.161356356,0.060745072,0.777087305,0.184936175
3,0.145137399,0.06169466,0.76631294,0.186839438
4,0.189777432,0.060367177,0.851788033,0.185670484
5,0.13607251,0.058971637,0.715426453,0.136588643
6,0.111411746,0.060197007,0.5533408,0.157574423
7,0.104494829,0.056845935,0.803589096,0.136136825
8,0.115897387,0.059797751,0.769492545,0.184754598
9,0.171780198,0.054431338,1.60777674,0.26137985
10,0.125299331,0.07321418,1.296048954,0.224206855
11,0.142173983,0.063780769,0.819746135,0.188226528
12,0.141959171,0.060454291,0.912536616,0.205664607
13,0.138453258,0.063729433,1.448058894,0.250616789
14,0.16643452,0.060469576,0.876738689,0.230901335
15,0.134283211,0.06199899,1.310073823,0.178526456
16,0.152627752,0.060558889,1.284603228,0.230261999
17,0.142299396,0.059528681,1.143750879,0.171777427
18,0.124353087,0.067379829,0.654947395,0.142105104
19,0.150439647,0.060426,0.685607041,0.178872564
20,0.130496116,0.05591077,1.161119218,0.199511488
21,0.186761231,0.054724728,1.130882916,0.153453747
22,0.168881175,0.059562262,1.101804807,0.170253456
23,0.144774827,0.060454772,0.686381752,0.149071834
24,0.122879253,0.061965595,0.902719943,0.196292417
25,0.137064739,0.060638195,0.749145429,0.157556892
26,0.170513941,0.058083065,0.783498014,0.181049783
27,0.141534692,0.06231382,0.791762173,0.154466621
28,0.13787318,0.068881406,0.602602297,0.159432949
29,0.122239005,0.060955772,0.984964301,0.305340865
30,0.146232974,0.06005091,0.92225694,0.213840198
31,0.172455116,0.063297718,0.822819807,0.175821958
32,0.139657923,0.051352591,0.874303857,0.175708642
33,0.175380942,0.059247734,1.171064474,0.250176389
34,0.147539659,0.061728611,0.905354327,0.161950011
35,0.137658974,0.064589683,0.746942532,0.178007842
36,0.154232718,0.06807336,0.896897362,0.160404068
37,0.165579003,0.062059993,0.745192281,0.21001984
38,0.174754106,0.064228392,0.485235443,0.181506532
39,0.1160244,0.052952787,0.948157508,0.198097478
40,0.139480857,0.066229003,0.989374239,0.194819143
41,0.144864055,0.057705912,1.084910967,0.181539019
42,0.146157348,0.065096261,1.025466214,0.178692437
43,0.146741182,0.066913606,0.911176143,0.23054282
44,0.151010027,0.059200572,0.90678849,0.182802696
45,0.188669407,0.065148967,0.796606175,0.155096253
46,0.144173964,0.065662808,1.114017592,0.205036696
47,0.150843815,0.068027507,0.822359089,0.208775213
48,0.156414746,0.063652135,0.83012338,0.145892319
49,0.131208272,0.064535068,0.812324025,0.187968521
50,0.146835155,0.064713702,0.693101662,0.19011066
51,0.120652188,0.065283361,0.676878342,0.193890757
52,0.151636533,0.066181219,0.917484196,0.198481437
53,0.128520373,0.067076511,0.992012238,0.200677967
54,0.164580453,0.068658564,1.108470964,0.225959121
55,0.154267593,0.063906497,0.632420269,0.168237187
56,0.145406645,0.073079175,1.147776557,0.209982254
57,0.136159725,0.067213989,0.778274554,0.178154088
58,0.146673519,0.06810418,0.736943716,0.198529051
59,0.141666373,0.064750267,0.794367592,0.159184288
60,0.138585838,0.057689609,1.257829699,0.209470437
61,0.205797498,0.061770557,1.078852379,0.224810232
62,0.142014782,0.066849368,0.975506102,0.159800996
63,0.183436176,0.067176978,1.228528416,0.174710128
64,0.144680755,0.064938342,1.200410161,0.249118479
65,0.175696173,0.065183919,0.987543169,0.212961177
66,0.14939554,0.061079654,1.160742492,0.220423961
67,0.166766511,0.068564693,1.00023943,0.188275003
68,0.154412785,0.056473626,1.078239507,0.218618296
69,0.135431211,0.061338377,1.364890343,0.196299789
70,0.149763576,0.059544574,1.080808956,0.244838758
71,0.14624539,0.066997239,0.92857299,0.185587487
72,0.156730307,0.068746141,1.002454649,0.20109558
73,0.154378501,0.066950903,1.621163532,0.35645206
74,0.122450815,0.063501389,1.32865387,0.194913262
75,0.160117555,0.068138804,1.151821833,0.158305597
76,0.17879074,0.06456585,0.895123583,0.272285294
77,0.161106506,0.057496996,0.914076712,0.200017427
78,0.166282885,0.069958741,1.802536172,0.279063381
79,0.155934219,0.057087411,1.127914285,0.158506602
80,0.219785545,0.066251611,1.414642645,0.215991633
81,0.152029789,0.072396946,1.134438012,0.206539762
82,0.189366376,0.068339603,0.707088616,0.228282457
83,0.149796574,0.070717171,1.018318329,0.283906567
84,0.179079766,0.070078563,0.915775676,0.180780084
85,0.157623721,0.074711552,1.349907355,0.209606221
86,0.219850604,0.067167357,1.085639084,0.237888203
87,0.173117629,0.080495495,1.387844126,0.323056943
88,0.212999802,0.085853272,0.940189864,0.348074902
89,0.174919208,0.073151998,0.908555586,0.236028226
90,0.18138223,0.072398776,1.384772053,0.247999282
91,0.149163582,0.073908318,1.173061119,0.259212223
92,0.17015505,0.065631985,1.863045385,0.350213028
93,0.146440634,0.075043894,1.776061434,0.172413238
94,0.193626625,0.076990306,1.313526233,0.304023434
95,0.157733917,0.067899525,1.415331908,0.273508061
96,0.164345751,0.076835626,1.781196286,0.263729088
97,0.162781352,0.083490868,1.211558849,0.227657396
98,0.215277614,0.075041895,0.786509688,0.251981646
99,0.138727773,0.078726208,1.269625007,0.249220364
100,0.161267622,0.149933029,0.994189089,0.253115205
101,0.197809369,0.079560319,1.336081992,0.249210387
102,0.129068407,0.071822913,0.703979403,0.215474833
103,0.214710883,0.089052754,2.211855107,0.25759213
104,0.143250109,0.071281365,2.621159843,0.235311997
105,0.175345671,0.06270095,1.617058432,0.310152911
106,0.138240786,0.06084591,1.326962592,0.219850103
107,0.161532573,0.064250909,1.101548319,0.252806636
108,0.18088632,0.074236622,1.640657912,0.318616348
109,0.165731292,0.070081638,1.0939671,0.341513153
110,0.158865568,0.064641437,1.341318206,0.213118069
111,0.197455583,0.070949813,1.390015939,0.242255615
112,0.157147046,0.071710794,1.000911853,0.212621968
113,0.194380216,0.075459553,1.051309481,0.20836987
114,0.141768884,0.068326912,0.961977372,0.195236642
115,0.191307814,0.066011175,1.048262208,0.229148595
116,0.159332994,0.068247973,1.075275979,0.18004469
117,0.199319938,0.075509647,0.791779871,0.17080223
118,0.16187048,0.073722203,0.432097856,0.17328351
119,0.167717593,0.066612512,0.924443291,0.296406626
120,0.140782095,0.066026294,1.434818646,0.218487625
121,0.193580996,0.07420237,0.930167832,0.244814483
122,0.15770008,0.068427384,1.380876261,0.241808639
123,0.191349225,0.075118539,1.488606854,0.194824831
124,0.16226804,0.074235056,0.998754779,0.200361591
125,0.186451561,0.076508339,0.828861808,0.197118781
126,0.165367385,0.071892972,0.919313797,0.237223814
127,0.177582197,0.075622846,0.752552271,0.187697437
128,0.157603764,0.075403596,1.208101986,0.192215856
129,0.176879554,0.074042462,0.959291906,0.250480582
130,0.145765816,0.07902126,1.397953926,0.233345283
131,0.154964899,0.071893009,1.251071467,0.323568592
132,0.152155176,0.071841378,0.759611522,0.25042438
133,0.163126393,0.093813618,1.508610629,0.199521468
134,0.206175122,0.066705476,1.020039037,0.227536949
135,0.163048645,0.079295446,1.234929793,0.224182088
136,0.193912636,0.071176713,1.171515862,0.226556563
137,0.165760702,0.081148204,1.316076872,0.210509148
138,0.182530624,0.079749796,0.730642949,0.185063876
139,0.155754264,0.077569368,0.899669757,0.191117436
140,0.176751933,0.072382263,0.539999853,0.175953986
141,0.132629455,0.071890914,1.158049709,0.185571251
142,0.194424963,0.076542189,1.419215642,0.261085054
143,0.145015347,0.078490986,1.312133357,0.178148195
144,0.161278686,0.069989469,1.5918614,0.430357379
145,0.166324618,0.076973431,0.944632746,0.199524868
146,0.146389456,0.0816138,1.153177345,0.239763064
147,0.164914294,0.075831166,1.1975046,0.251366535
148,0.157748412,0.075579452,0.970245754,0.221964349
149,0.19365094,0.064088728,1.239822964,0.245037528
150,0.157616432,0.083329248,1.458216719,0.228233146
151,0.182945803,0.072053601,1.498356131,0.250025384
152,0.159977455,0.079633053,1.769698696,0.19577946
153,0.200784573,0.07490443,0.827518394,0.201497109
154,0.165643377,0.076994565,1.068191764,0.330875561
155,0.189443803,0.0777637,2.145495502,0.261673996
156,0.149292316,0.080615531,0.969295566,0.227719991
157,0.157266309,0.077133502,1.208156514,0.292840527
158,0.168387378,0.07253911,1.896731779,0.209284576
159,0.172123991,0.082037151,1.321279595,0.235863722
160,0.178693448,0.065793682,0.922245853,0.189156947
161,0.166492143,0.077496397,1.594421944,0.252809954
162,0.207665083,0.072508921,1.62849786,0.221427746
163,0.153364814,0.074477776,1.732075012,0.253289777
164,0.211485522,0.078866182,1.927932683,0.205985272
165,0.168664745,0.070818249,0.96355799,0.29717789
166,0.162117061,0.081185331,1.276289995,0.192965803
167,0.147503348,0.06998237,1.431929506,0.293282251
168,0.182721909,0.078297451,1.662193071,0.242773987
169,0.205731527,0.083487846,1.001421379,0.254305994
170,0.147401781,0.072630204,1.17412455,0.262164939
171,0.18144866,0.07899888,1.296054825,0.251163083
172,0.163748137,0.07598204,0.936317883,0.212850499
173,0.158393866,0.079916829,1.281298368,0.233629296
174,0.167355727,0.068827056,1.171636994,0.232975056
175,0.164017133,0.074569569,1.012503347,0.226994067
176,0.209101175,0.083025433,1.14262201,0.236028369
177,0.158846396,0.077438114,1.579058693,0.24918046
178,0.220025392,0.097905112,2.134183616,0.255434224
179,0.158910325,0.071150092,1.305817464,0.347807973
180,0.19652979,0.079711061,1.363591767,0.264853426
181,0.180119253,0.102342756,2.126730924,0.303797836
182,0.145120562,0.081870491,0.960144066,0.231542118
183,0.189510221,0.081584743,1.273025854,0.253554931
184,0.16999588,0.077647131,0.782082118,0.203161123
185,0.192397848,0.083525553,1.575804789,0.221131004
186,0.186269965,0.080105153,0.957959763,0.24737
187,0.174861801,0.072334476,1.653551926,0.274653364
188,0.143622391,0.077456349,1.154646944,0.242535977
189,0.18476913,0.084735765,1.16017966,0.208703186
190,0.21049507,0.064905273,1.22943508,0.265040718
191,0.171784183,0.073451265,2.521912258,0.391564036
192,0.184532803,0.070103171,1.996788675,0.204891253
193,0.156234195,0.074819967,2.129991566,0.263652476
194,0.169198458,0.078327857,0.990276276,0.283472992
195,0.206170504,0.082780242,1.260349177,0.243258602
196,0.149726768,0.079391401,1.729131455,0.223882534
197,0.211950735,0.07612927,2.048965468,0.2657811
198,0.171285753,0.075239076,0.948144914,0.260740985
199,0.155896957,0.067123246,0.969017694,0.227370559
200,0.15812649,0.076130778,2.123591642,0.25070271
201,0.158864491,0.075733899,2.044152534,0.324347429
202,0.217606373,0.085444773,1.135772005,0.247066417
203,0.172245155,0.073557908,1.713540163,0.219832981
204,0.209896927,0.0858399,1.270857919,0.212998913
205,0.159526721,0.071977139,1.163731049,0.258134396
206,0.176459217,0.069931802,1.251099452,0.215342441
207,0.212612767,0.079111783,1.178974539,0.265565797
208,0.165450714,0.087293459,1.550582477,0.233369865
209,0.203974049,0.078231588,1.092685579,0.276542315
210,0.154373759,0.080612538,1.746177437,0.277475323
211,0.175414711,0.08323276,1.261490864,0.228826125
212,0.210381566,0.085994285,1.163142704,0.267909156
213,0.201201948,0.081765274,1.697454023,0.349432508
214,0.212980502,0.08408141,1.781660602,0.236505026
215,0.173819981,0.079684512,1.742299796,0.286198101
216,0.172804316,0.075097276,1.328461395,0.332561742
217,0.222383373,0.079446281,1.330762718,0.27095062
218,0.151152261,0.087113965,2.135817544,0.350534067
219,0.202172746,0.088453431,1.804865278,0.272199223
220,0.160750454,0.08832683,1.037406488,0.254312333
221,0.155218651,0.083200915,1.249493776,0.27234516
222,0.215716434,0.085215272,1.025079443,0.251405398
223,0.178523763,0.082233927,1.453059176,0.326071697
224,0.179326028,0.080941407,1.64798453,0.224999088
225,0.174923405,0.076158245,1.449576557,0.290340454
226,0.16012034,0.083489526,1.430616143,0.307990567
227,0.225141543,0.079815371,1.321199166,0.242489872
228,0.167892992,0.082702315,1.433992556,0.345979656
229,0.176721454,0.080463552,1.691955211,0.356900014
230,0.222369366,0.077682635,2.004390421,0.202992599
231,0.168511636,0.08018289,1.800370654,0.235592191
232,0.193680357,0.086584423,1.013280782,0.234098929
233,0.179331512,0.077101434,1.650817714,0.240650512
234,0.180935393,0.080445875,1.126449345,0.253276374
235,0.225178846,0.082534021,2.115009367,0.369569682
236,0.182224029,0.087129408,1.331509585,0.231619751
237,0.17156495,0.075590091,1.430756148,0.247439646
238,0.209312597,0.082896663,2.696734535,0.336400609
239,0.177726133,0.079237781,1.268312937,0.281399915
240,0.214771853,0.088310593,2.155678112,0.236189377
241,0.164527764,0.084658397,0.930090536,0.220989164
242,0.177854536,0.083413415,1.661742798,0.248082595
243,0.218827388,0.084058913,0.741533067,0.220750603
244,0.181876513,0.08428425,1.142050511,0.316357292
245,0.160924683,0.083722146,1.516031924,0.246545355
246,0.212390843,0.082880639,1.484129308,0.262931532
247,0.187876712,0.088469554,1.531425719,0.257820993
248,0.178331532,0.092193206,1.019871413,0.261561963
249,0.207187503,0.089007799,1.623202404,0.340042354
250,0.187004652,0.083205993,1.186662261,0.293621404
251,0.220409901,0.086591362,1.367041925,0.242173879
252,0.178866269,0.080560492,1.435334499,0.249897312
253,0.178636307,0.081046476,1.735752023,0.252687387
254,0.223201781,0.088039557,1.688682797,0.245199358
255,0.195597616,0.073877649,1.393196206,0.295734858
256,0.161932251,0.075098951,1.183415632,0.274713964
257,0.217468047,0.085113542,2.260316456,0.37331774
258,0.181846716,0.091536944,1.717099488,0.219083876
259,0.191166766,0.094475164,1.030665895,0.292558123
260,0.221174953,0.078628331,1.28241145,0.270580114
261,0.158700143,0.070082883,1.180984403,0.251299695
262,0.181110497,0.08768637,1.035040549,0.406819517
263,0.223794694,0.093981358,2.937176902,0.267404214
264,0.173683985,0.080698707,1.887178917,0.283401789
265,0.203605135,0.088227726,1.050561271,0.27424606
266,0.181807216,0.122173009,0.843552025,0.241121572
267,0.172175149,0.092531476,1.439570215,0.248897849
268,0.212739505,0.093220245,1.491177792,0.278258992
269,0.183811177,0.078659465,1.976628698,0.348972658
270,0.177849501,0.082917306,1.686517514,0.258461477
271,0.226104786,0.075998603,1.171425302,0.222614738
272,0.170533073,0.083804812,0.940281308,0.274021112
273,0.163917627,0.090017782,1.202990287,0.239142754
274,0.227302682,0.093889226,0.983437242,0.242803959
275,0.18139448,0.091102408,1.000267536,0.262072088
276,0.184304697,0.085931634,1.673354226,0.315458639
277,0.224622611,0.090610154,1.324585149,0.282755784
278,0.167153797,0.08836373,1.59809586,0.310367173
279,0.194424542,0.08080413,2.114236933,0.315614065
280,0.255574647,0.093320624,1.440381055,0.302382979
281,0.177944736,0.091358074,1.27356693,0.25247445
282,0.187142278,0.09361705,1.016733835,0.326216098
283,0.217186334,0.093698358,0.843238475,0.222644269
284,0.19545658,0.090840983,1.839686402,0.350858687
285,0.185819407,0.099063674,1.460807984,0.267359575
286,0.224071199,0.086017405,1.252317385,0.274995834
287,0.189027641,0.094307701,1.049612136,0.223781797
288,0.189193719,0.092436437,1.390915457,0.294152426
289,0.231479079,0.096513115,1.958710003,0.256265959
290,0.192528902,0.094734177,0.952719195,0.244663419
291,0.185925972,0.119777282,1.438188159,0.277727841
292,0.215428833,0.101013755,1.010398746,0.272479547
293,0.181863555,0.090814488,1.327286734,0.334530144
294,0.16992854,0.094854822,1.281481408,0.338499031
295,0.225849555,0.087079724,1.488207858,0.258937282
296,0.194637742,0.094063095,1.202136669,0.327296688
297,0.18301127,0.092421329,1.162552088,0.294753658
298,0.228743033,0.08303058,1.710476517,0.293912942
299,0.186816181,0.093470412,1.807398663,0.253252895
300,0.187633488,0.083192075,1.831695935,0.313415806
